gene_id	gene_name	logFC	logCPM	LR	p.raw	p.adj
ENSG00000160072	ATAD3B	0.005105697415093989	5.313155046822401	9.602822268384159e-5	0.9921813358900838	0.9963321767684205
ENSG00000067606	PRKCZ	0.46969693081788816	5.253584947333715	0.8516337310524333	0.3560905736943049	0.8096335924370845
ENSG00000169972	PUSL1	0.14409439592799794	6.547461150246011	0.19396124893760402	0.6596399526273667	0.9235816754399201
ENSG00000157911	PEX10	1.4291324716906395	5.332669476881244	9.459295824657785	0.0021008170585601733	0.07108680968311204
ENSG00000237973	MTCO1P12	1.7374565422205321	8.541211293429942	91.8403287698251	9.395996492672228e-22	2.024210844404687e-18
ENSG00000224051	CPTP	-0.8014232209154016	5.429845742596092	2.1102368463561545	0.14631667026313636	0.6179024121993945
ENSG00000157933	SKI	0.17404675402620606	6.317860629413754	0.25158697673010905	0.6159598485188956	0.9148542176322951
ENSG00000116285	ERRFI1	-0.09702729235005947	5.25854724171343	0.032257716805622616	0.8574632019445282	0.9701608373652247
ENSG00000229344	MTCO2P12	0.20545642006782286	5.065105347042289	0.12714777957992762	0.7214078446842378	0.9446449440625765
ENSG00000007923	DNAJC11	-1.3196807476630759	5.615086875346644	5.413063300866819	0.019986613308401655	0.2686689551521196
ENSG00000162441	LZIC	0.007158371679448903	6.251393443094357	3.8478237373951174e-4	0.9843498034763227	0.9963321767684205
ENSG00000227372	TP73-AS1	-0.36949661334108863	5.562694433091893	0.5602996845039064	0.45413952033470195	0.8558970104536243
ENSG00000107404	DVL1	0.48524167476595326	6.8132849120593155	2.6629072559962124	0.10271284321830224	0.5443305050151886
ENSG00000074800	ENO1	0.4372683590265148	10.598191261234604	16.1762074767648	5.771448259060709e-5	0.004440579773608257
ENSG00000116786	PLEKHM2	0.004775390243683826	5.8241625346618955	1.2513241841061173e-4	0.9910748417904967	0.9963321767684205
ENSG00000176022	B3GALT6	-0.18485236342421763	6.0296013117430585	0.20688460009372278	0.6492202583890949	0.9216283709783516
ENSG00000248527	MTATP6P1	0.595313698066792	5.7480319317236885	1.8846206842376931	0.16980990487485714	0.654722791066361
ENSG00000116273	PHF13	0.4668062336810184	5.615070709695582	1.079620253553816	0.29878252338924355	0.7784315635869367
ENSG00000049245	VAMP3	0.19005637731293262	6.652823686109754	0.36546510226635764	0.5454866127963338	0.8919632643412875
ENSG00000171603	CLSTN1	-0.026760706293388486	6.843013383058968	0.007911078145778655	0.9291262230053664	0.9857778464763228
ENSG00000177674	AGTRAP	0.5518271950675337	5.909736708832614	1.9917191365329232	0.1581612445446674	0.6349907442672927
ENSG00000037637	FBXO42	-0.8396314460026122	5.459657480249154	2.3420672180225166	0.12592235113894512	0.5829931639425653
ENSG00000142599	RERE	-0.33973313731432064	5.663737884286485	0.5154585544992695	0.47278538910467605	0.8634868027662314
ENSG00000065526	SPEN	-0.30113714302430256	7.077540902762918	1.0923145515318606	0.2959589475275555	0.7751727337095544
ENSG00000175756	AURKAIP1	-0.36468619200438684	7.132454984702313	1.5586670834612217	0.21186049163510473	0.7076546904789521
